2022-12-20 22:12:988 INFO  HomePage :33 - feaching dealer :[[[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']]]
2022-12-20 22:12:504 INFO  HomePage :44 - Click on Next Button :[[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //span[contains(text(),'Next')]]
2022-12-20 22:12:514 INFO  HomePage :33 - feaching dealer :[[[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']]]
2022-12-20 22:12:785 INFO  HomePage :44 - Click on Next Button :[[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //span[contains(text(),'Next')]]
2022-12-20 22:12:794 INFO  HomePage :33 - feaching dealer :[[[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']]]
2022-12-20 22:12:38 INFO  HomePage :44 - Click on Next Button :[[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //span[contains(text(),'Next')]]
2022-12-20 22:12:50 INFO  HomePage :33 - feaching dealer :[[[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']]]
2022-12-20 22:12:204 INFO  HomePage :44 - Click on Next Button :[[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //span[contains(text(),'Next')]]
2022-12-20 22:12:306 INFO  HomePage :33 - feaching dealer :[[[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']], [[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //div[@class='dealerListing--name']]]
2022-12-20 22:12:534 INFO  HomePage :44 - Click on Next Button :[[ChromeDriver: chrome on WINDOWS (7b6d1b3394aa84bd85a9596d011c8945)] -> xpath: //span[contains(text(),'Next')]]
